Stock Name,Stock Id,Imputation Method,Percentage MSE
RMD,400,2.0,6.69e-05
RHI,401,2.0,8.799e-05
ROK,402,2.0,5.924e-05
ROL,403,1.0,0.00012461
ROP,404,2.0,3.283e-05
ROST,405,2.0,0.00026337
RCL,406,2.0,0.00020619
SPGI,407,2.0,4.706e-05
CRM,408,2.0,0.00040266
SBAC,409,2.0,4.436e-05
SLB,410,2.0,0.00012998
STX,411,2.0,0.00014992
SEE,412,2.0,9.907e-05
SRE,413,2.0,4.712e-05
NOW,414,2.0,0.00012212
SHW,415,1.0,0.00019492
SBNY,416,2.0,9.75e-05
SPG,417,2.0,8.556e-05
SWKS,418,2.0,0.00012763
SJM,419,2.0,4.446e-05
SNA,420,2.0,5.2e-05
SEDG,421,2.0,0.00032788
SO,422,2.0,5.565e-05
LUV,423,2.0,0.00011429
SWK,424,2.0,7.356e-05
SBUX,425,2.0,0.00010706
STT,426,2.0,9.939e-05
STE,427,2.0,4.428e-05
SYK,428,2.0,4.013e-05
SIVB,429,2.0,0.00011688
SYF,430,2.0,0.00016544
SNPS,431,2.0,4.941e-05
SYY,432,2.0,7.078e-05
TMUS,433,2.0,9.892e-05
TROW,434,2.0,5.807e-05
TTWO,435,2.0,0.00010874
TPR,436,2.0,0.00017151
TRGP,437,2.0,0.0003026
TGT,438,2.0,5.976e-05
TEL,439,2.0,5.962e-05
TDY,440,2.0,4.815e-05
TFX,441,2.0,4.503e-05
TER,442,2.0,0.00012632
TSLA,443,2.0,0.00077405
TXN,444,2.0,5.636e-05
TXT,445,2.0,0.00012377
TMO,446,2.0,3.909e-05
TJX,447,2.0,0.00025915
TSCO,448,1.0,0.00012106
TT,449,2.0,6.463e-05
TDG,450,2.0,6.688e-05
TRV,451,2.0,4.156e-05
TRMB,452,2.0,0.00014673
TFC,453,2.0,9.828e-05
TYL,454,2.0,5.34e-05
TSN,455,2.0,7.317e-05
USB,456,2.0,7.852e-05
UDR,457,2.0,7.005e-05
ULTA,458,2.0,0.0001132
UNP,459,2.0,8.133e-05
UAL,460,2.0,0.00024947
UPS,461,2.0,4.225e-05
URI,462,2.0,0.00014239
UNH,463,2.0,4.306e-05
UHS,464,2.0,9.385e-05
VLO,465,2.0,0.0001246
VTR,466,2.0,0.00010288
VRSN,467,2.0,5.332e-05
VRSK,468,2.0,3.966e-05
VZ,469,2.0,4.72e-05
