Stock Name,Stock Id,Imputation Method,Days Before,Train Percentage MSE,Test Percentage MSE
HSIC,229,1.0,9.0,7.815e-05,0.00026143
HSY,230,2.0,9.0,2.425e-05,0.03385965
HES,231,2.0,12.0,7.741e-05,0.00943095
HPE,232,2.0,9.0,7.447e-05,0.00040251
HLT,233,1.0,8.0,9.816e-05,0.02875977
HOLX,234,2.0,14.0,3.583e-05,0.00377933
HD,235,2.0,12.0,2.577e-05,0.01617391
HON,236,2.0,7.0,2.788e-05,0.01858758
HRL,237,2.0,9.0,5.796e-05,0.00018977
HST,238,2.0,7.0,4.142e-05,0.00052948
HWM,239,1.0,2.0,0.00014693,0.00249017
HPQ,240,2.0,8.0,6.332e-05,0.00053514
HUM,241,2.0,7.0,4.661e-05,0.00799642
HBAN,242,2.0,9.0,4.533e-05,0.00050791
HII,243,2.0,5.0,4.215e-05,0.00027593
IBM,244,2.0,14.0,2.768e-05,0.00026324
IEX,245,2.0,14.0,2.327e-05,0.01549786
IDXX,246,2.0,11.0,8.908e-05,0.0679242
ITW,247,2.0,15.0,2.667e-05,0.00896226
ILMN,248,2.0,12.0,9.219e-05,0.00758152
INCY,249,2.0,10.0,0.00010984,0.00040535
IR,250,2.0,7.0,7.465e-05,0.00205498
INTC,251,2.0,11.0,4.304e-05,0.00062444
ICE,252,1.0,1.0,0.00075461,0.00037341
IP,253,2.0,7.0,3.834e-05,0.00032072
IPG,254,2.0,6.0,4.621e-05,0.07406431
IFF,255,2.0,14.0,3.043e-05,0.00036588
INTU,256,2.0,14.0,3.728e-05,0.06873512
ISRG,257,1.0,2.0,0.00023354,0.13000228
IVZ,258,2.0,6.0,5.714e-05,0.00152705
INVH,259,2.0,13.0,2.907e-05,0.00075925
IQV,260,2.0,15.0,4.121e-05,0.05360209
IRM,261,2.0,7.0,4.192e-05,0.01823654
JBHT,262,2.0,15.0,2.901e-05,0.03617271
JKHY,263,2.0,14.0,2.087e-05,0.0012659
J,264,2.0,6.0,3.861e-05,0.05018842
JNJ,265,2.0,15.0,1.527e-05,0.00945791
JCI,266,2.0,15.0,2.972e-05,0.01879935
JPM,267,2.0,15.0,3.459e-05,0.00768901
JNPR,268,2.0,12.0,5.013e-05,0.00153118
K,269,2.0,15.0,2.042e-05,0.00016843
KDP,270,4.0,2.0,0.00107642,0.00229911
KEY,271,2.0,8.0,5.347e-05,0.00299597
KEYS,272,2.0,8.0,4.772e-05,0.01548177
KMB,273,2.0,15.0,1.81e-05,0.00016674
KIM,274,2.0,9.0,4.66e-05,0.00038819
KMI,275,2.0,12.0,4.675e-05,0.00042026
KLAC,276,2.0,7.0,6.221e-05,0.13443768
KHC,277,2.0,15.0,5.538e-05,0.00046894
KR,278,1.0,2.0,7.604e-05,0.00044807
LHX,279,2.0,7.0,3.046e-05,0.00154757
LH,280,2.0,8.0,3.266e-05,0.05387023
LRCX,281,2.0,15.0,6.627e-05,0.0995682
LW,282,2.0,13.0,5.321e-05,0.00039913
LVS,283,2.0,13.0,5.647e-05,0.00284339
LDOS,284,4.0,11.0,7.351e-05,0.00032033
LEN,285,2.0,7.0,6.189e-05,0.02682636
LNC,286,2.0,7.0,8.986e-05,0.00115507
